Sess-Gd-Occ ID,Session,Min Temp,Max Temp,Avg Wind,Max Wind,Precip (mm),Moon Score
3_5_2,3,-0.633333333,23.13888889,1.308983625,4.14369,0,1
3_5_3,3,11.07222222,22.63333333,4.66202375,7.93425,38,1
3_6_1,3,-5.705555556,9.25,4.88433175,8.43936,0,1
3_6_2,3,-9.016666667,16.88888889,1.731435875,5.61432,0,1
3_6_3,3,-3.716666667,21.51111111,2.455818,6.45915,0,1
3_7_1,3,0.622222222,25.56111111,3.978616625,9.7446,0,0
3_7_2,3,4.127777778,23.27777778,4.253652,9.13221,0,1
3_7_3,3,1.45,16.87222222,5.59535975,12.7395,0,1
3_8_1,3,-1.061111111,20.23333333,4.397865375,8.11305,0,0
3_8_2,3,1.55,20.43888889,3.38293325,6.36975,0,0
3_8_3,3,-0.283333333,22.00555556,1.5122755,4.56834,0,0
4_1_1,4,17.92222222,37.66666667,3.71416025,8.15328,0,0
4_1_2,4,19.12777778,29.44444444,6.154500875,10.45533,0,0
4_1_3,4,12.46666667,30.83333333,3.015462,6.20883,0,0
4_11_1,4,4.377777778,22.35555556,2.032117875,6.87486,0,0
4_11_2,4,5.505555556,28.61111111,1.237389125,3.091005,0,0
4_11_3,4,6.588888889,31,1.349697875,2.725359,0,0
4_12_1,4,4.377777778,22.35555556,2.032117875,6.87486,0,0
4_12_2,4,5.505555556,28.61111111,1.237389125,3.091005,0,0
4_12_3,4,6.588888889,31,1.349697875,2.725359,0,0
4_13_1,4,11.53888889,30.66666667,4.000109875,11.41191,0,1
4_13_2,4,8.661111111,29.66666667,3.989270125,9.15903,0,1
4_13_3,4,11.01111111,23.02222222,3.70402825,7.65264,0,1
4_14_1,4,2.527777778,25.48333333,3.331621375,7.82697,0,1
4_14_2,4,7.433333333,28.66666667,2.847781125,7.21458,0,1
4_14_3,4,10.98333333,30.22222222,3.6458065,6.82122,0,1
4_15_1,4,11.53888889,30.66666667,4.000109875,11.41191,0,1
4_15_2,4,8.661111111,29.66666667,3.989270125,9.15903,0,1
4_15_3,4,11.01111111,23.02222222,3.70402825,7.65264,0,1
4_16_1,4,2.527777778,25.48333333,3.331621375,7.82697,0,1
4_16_2,4,7.433333333,28.66666667,2.847781125,7.21458,0,1
4_16_3,4,10.98333333,30.22222222,3.6458065,6.82122,0,1
4_17_1,4,3.994444444,23.36666667,4.070996625,8.90424,0,1
4_17_2,4,8.705555556,21.47777778,5.94729775,8.72544,0,1
4_17_3,4,5.705555556,25.16111111,2.397316875,4.34484,0,1
4_18_1,4,13.36666667,28.05555556,5.087176625,8.55558,0,1
4_18_2,4,11.75,30.11111111,4.178239375,8.36784,0,1
4_18_3,4,9.833333333,31.33333333,2.3487615,4.72926,0,1
4_19_1,4,17.92222222,37.66666667,3.71416025,8.15328,0,0
4_19_2,4,19.12777778,29.44444444,6.154500875,10.45533,0,0
4_19_3,4,12.46666667,30.83333333,3.015462,6.20883,0,0
4_2_1,4,3.994444444,23.36666667,4.070996625,8.90424,0,1
4_2_2,4,8.705555556,21.47777778,5.94729775,8.72544,0,1
4_2_3,4,5.705555556,25.16111111,2.397316875,4.34484,0,1
4_20_1,4,13.36666667,28.05555556,5.087176625,8.55558,0,1
4_20_2,4,11.75,30.11111111,4.178239375,8.36784,0,1
4_20_3,4,9.833333333,31.33333333,2.3487615,4.72926,0,1
4_3_1,4,14.98888889,34.22222222,3.05796425,5.94957,0,0
4_3_2,4,11.06666667,35.27777778,1.73208775,4.63092,0,0
4_3_3,4,13.35,37.05555556,2.473679375,5.61879,0,0
4_4_1,4,5.416666667,23.05555556,4.384418125,9.49428,0,1
4_4_2,4,10.63888889,19.31666667,4.65807525,7.79568,0,1
4_4_3,4,5.494444444,16.16666667,2.43521875,6.11049,48,0
4_5_1,4,5.416666667,23.05555556,4.384418125,9.49428,0,1
4_5_2,4,10.63888889,19.31666667,4.65807525,7.79568,0,0
4_5_3,4,5.494444444,16.16666667,2.43521875,6.11049,48,0
4_6_1,4,14.98888889,34.22222222,3.05796425,5.94957,0,0
4_6_2,4,11.06666667,35.27777778,1.73208775,4.63092,0,0
4_6_3,4,13.35,37.05555556,2.473679375,5.61879,0,0
4_7_1,4,7.827777778,32.44444444,1.4212365,5.17626,0,1
4_7_2,4,8.694444444,34.11111111,1.80576825,4.95276,0,1
4_7_3,4,17.87777778,32.94444444,4.073790375,6.91956,0,1
4_8_1,4,7.827777778,32.44444444,1.4212365,5.17626,0,1
4_8_2,4,8.694444444,34.11111111,1.80576825,4.95276,0,1
4_8_3,4,17.87777778,32.94444444,4.073790375,6.91956,0,1
5_1_1,5,-0.905555556,25.66111111,2.065680125,4.91253,0,1
5_1_2,5,5.722222222,26.05,1.36279125,3.98724,0,1
5_1_3,5,3.838888889,27.38888889,1.222824375,3.78162,0,1
5_11_1,5,-5.316666667,13.52222222,2.570231375,7.42467,0,0
5_11_2,5,-4.422222222,9.822222222,3.098604,8.34996,0,0
5_11_3,5,-5.95,9.983333333,4.229532625,9.45405,0,0
5_12_1,5,-5.95,9.983333333,4.229532625,9.45405,0,0
5_12_2,5,-5.577777778,13.3,1.888444625,4.39401,0,0
5_12_3,5,4.444444444,14.87777778,2.98353875,5.49363,3,1
5_13_1,5,7.144444444,24.54444444,1.986710125,4.13028,0,1
5_13_2,5,6.294444444,26.07777778,2.96968175,7.50513,0,1
5_13_3,5,4.9,16.73888889,6.342874125,12.48471,0,1
5_14_1,5,7.144444444,24.54444444,1.986710125,4.13028,0,1
5_14_2,5,6.294444444,26.07777778,2.96968175,7.50513,0,1
