UnqID,Grid,Station,Gd-St,cobble,gravel,coarsesand,sand3,sand2,sand1,finesand,veryfine,siltclay,Total,UnqID save
500,1,414,1_414,0.230032369,0.877409178,56.85578614,1.689094823,18.66219747,13.54726344,5.701516571,1.375264948,1.061435073,100,
501,6,214,6_214,5.914740816,2.633275021,15.1533008,17.28017678,39.44388178,5.342049535,10.63253844,0.631617715,2.968419114,100,
502,6,216,6_216,2.827362705,1.26478059,46.0348603,0.420425681,15.68538145,17.26723307,10.44057108,2.951738635,3.107646492,100,
504,1,305,1_305,0.408347698,0.565661975,61.10320821,0.471942831,14.49299617,14.55491774,5.964554081,1.34386558,1.094505715,100,
505,6,307,6_307,0.973205057,0.976385466,38.12514908,16.49996024,24.58455912,9.253399062,6.974636241,0.850759323,1.76194641,100,
506,18,112,18_112,0.488901285,4.137614227,52.35345266,1.22389382,15.70062179,15.44304628,7.809295687,1.829278296,1.013895953,100,
507,18,114,18_114,8.365510299,5.00908968,20.53666672,12.77062456,28.79249989,8.80572124,12.07950841,0.854880632,2.78549858,100,
508,18,110,18_110,2.849013729,3.299662014,42.53470565,0.798182131,16.4142909,17.90945025,11.00651149,2.969313907,2.218869942,100,
509,6,315,6_315,1.718776329,1.660564653,25.18880498,17.51865071,31.51396314,9.134637479,8.921705296,1.079979779,3.26291763,100,
510,6,412,6_412,2.204816631,0.866700827,54.94034112,0.240099553,13.03272088,14.36058854,8.690432618,2.768464973,2.895834858,100,
511,18,211,18_211,13.82087353,2.741556862,22.24602046,13.39593222,25.36968181,10.77603194,8.865509501,0.957831429,1.826562259,100,
512,18,214,18_214,6.687921924,3.861870762,40.39546754,0.544853084,14.04343856,16.78416932,11.75924679,3.321508225,2.601523792,100,
513,6,407,6_407,3.980808936,1.32495581,34.1621734,16.38370245,27.86566255,7.80268259,5.92665211,0.643168011,1.910194139,100,
514,6,314,6_314,1.579896561,1.275840997,49.90833619,0.223570268,13.80769976,16.42049096,10.46905042,3.027141431,3.28797341,100,
515,1,303,1_303,0.674160928,0.635453123,44.73815783,19.15391191,22.21827976,6.485170072,3.99335516,0.469332129,1.632179088,100,
516,6,411,6_411,3.126301983,0.459841062,47.55342952,0.379600339,16.01728262,17.65141579,9.394336857,2.634056014,2.783735823,100,
517,6,309,6_309,2.632367846,1.321894049,51.3582961,14.75496424,18.28096672,5.197641718,4.285449173,0.529614138,1.638806013,100,
